Date,Time,Load (kW),,,,,,,
01.09.2018,0:00,5551.82208,,,,,,,
,1:00,4983.17184,,,,,,,
,2:00,4888.3968,,,,,,,
,3:00,5072.95872,,,,,,,
,4:00,5196.2598,,,,,,,
,5:00,5641.2972,,,,,,,
,6:00,7153.17732,,,,,,,
,7:00,7849.80504,,,,,,,
,8:00,6329.97504,,,,,,,
,9:00,6292.8756,,,,,,,
,10:00,5349.8016,,,,,,,
,11:00,5225.40936,,,,,,,
,12:00,5000.47452,,,,,,,
,13:00,4775.53968,,,,,,,
,14:00,6177.05676,,,,,,,
,15:00,6177.05676,,,,,,,
,16:00,6155.7012,,,,,,,
,17:00,6212.12976,,,,,,,
,18:00,7424.25264,,,,,,,
,19:00,7407.4176,,,,,,,
,20:00,7068.22272,,,,,,,
,21:00,6515.784,,,,,,,
,22:00,6350.08356,,,,,,,
,23:00,5502.25224,,,,,,,
02.09.2018,0:00,4931.2638,,,,,,,
,1:00,4775.53968,,,,,,,
,2:00,4713.8112,,,,,,,
,3:00,4689.02628,,,,,,,
,4:00,4844.7504,,,,,,,
,5:00,5571.46296,,,,,,,
,6:00,6150.71304,,,,,,,
,7:00,6296.30496,,,,,,,
,8:00,6515.16048,,,,,,,
,9:00,6269.64948,,,,,,,
,10:00,5607.0036,,,,,,,
,11:00,5932.7928,,,,,,,
,12:00,5675.5908,,,,,,,
,13:00,5675.27904,,,,,,,
,14:00,5435.5356,,,,,,,
,15:00,5572.71,,,,,,,
,16:00,6023.2032,,,,,,,
,17:00,6110.496,,,,,,,
,18:00,7951.75056,,,,,,,
,19:00,8013.0114,,,,,,,
,20:00,7591.82364,,,,,,,
,21:00,7088.17536,,,,,,,
,22:00,6477.12576,,,,,,,
,23:00,5848.6176,,,,,,,
03.09.2018,0:00,5460.4764,,,,,,,
,1:00,5097.89952,,,,,,,
,2:00,5062.9824,,,,,,,
,3:00,5080.44096,,,,,,,
,4:00,5324.8608,,,,,,,
,5:00,5970.82752,,,,,,,
,6:00,6477.12576,,,,,,,
,7:00,6635.8116,,,,,,,
,8:00,6635.8116,,,,,,,
,9:00,6371.595,,,,,,,
,10:00,6303.63132,,,,,,,
,11:00,6447.1968,,,,,,,
,12:00,6104.2608,,,,,,,
,13:00,5778.4716,,,,,,,
,14:00,5865.60852,,,,,,,
,15:00,5847.0588,,,,,,,
,16:00,6104.2608,,,,,,,
,17:00,6704.3988,,,,,,,
,18:00,7510.2984,,,,,,,
,19:00,7995.0852,,,,,,,
,20:00,7641.2376,,,,,,,
,21:00,5918.45184,,,,,,,
,22:00,6394.04172,,,,,,,
,23:00,5813.70048,,,,,,,
04.09.2018,0:00,5619.00636,,,,,,,
,1:00,5384.40696,,,,,,,
,2:00,5052.38256,,,,,,,
,3:00,5277.3174,,,,,,,
,4:00,5709.8844,,,,,,,
,5:00,6481.4904,,,,,,,
,6:00,7272.73728,,,,,,,
,7:00,7390.2708,,,,,,,
,8:00,7192.92672,,,,,,,
,9:00,6412.9032,,,,,,,
,10:00,6464.3436,,,,,,,
,11:00,6395.7564,,,,,,,
,12:00,4903.9848,,,,,,,
,13:00,6292.8756,,,,,,,
,14:00,6052.8204,,,,,,,
,15:00,6052.8204,,,,,,,
,16:00,6121.4076,,,,,,,
,17:00,6052.8204,,,,,,,
,18:00,8110.4364,,,,,,,
,19:00,8196.1704,,,,,,,
,20:00,8045.7462,,,,,,,
,21:00,7786.206,,,,,,,
,22:00,6746.33052,,,,,,,
,23:00,5935.9104,,,,,,,
05.09.2019,0:00,5447.07072,,,,,,,
,1:00,4713.8112,,,,,,,
,2:00,5002.50096,,,,,,,
,3:00,5037.72984,,,,,,,
,4:00,5865.60852,,,,,,,
,5:00,5984.2332,,,,,,,
,6:00,7474.75776,,,,,,,
,7:00,7205.39712,,,,,,,
,8:00,6548.83056,,,,,,,
,9:00,6001.38,,,,,,,
,10:00,6310.0224,,,,,,,
,11:00,5864.2056,,,,,,,
,12:00,6031.7766,,,,,,,
,13:00,4764.31632,,,,,,,
,14:00,4730.64624,,,,,,,
,15:00,5774.41872,,,,,,,
,16:00,6228.9648,,,,,,,
,17:00,6464.65536,,,,,,,
,18:00,7518.0924,,,,,,,
,19:00,8013.7908,,,,,,,
,20:00,6366.9186,,,,,,,
,21:00,6824.11464,,,,,,,
,22:00,5915.33424,,,,,,,
,23:00,5900.21388,,,,,,,
06.09.2019,0:00,5761.3248,,,,,,,
,1:00,5726.40768,,,,,,,
,2:00,6024.13848,,,,,,,
,3:00,6599.33568,,,,,,,
,4:00,5534.36352,,,,,,,
,5:00,6267.62304,,,,,,,
,6:00,7482.520584,,,,,,,
,7:00,5895.319248,,,,,,,
,8:00,6429.613536,,,,,,,
,9:00,6094.28448,,,,,,,
,10:00,5709.8844,,,,,,,
,11:00,5912.84016,,,,,,,
,12:00,6001.38,,,,,,,
,13:00,5799.484224,,,,,,,
,14:00,5851.11168,,,,,,,
,15:00,6040.412352,,,,,,,
,16:00,7479.20034,,,,,,,
,17:00,7373.124,,,,,,,
,18:00,7630.326,,,,,,,
,19:00,7476.0048,,,,,,,
,20:00,6660.44064,,,,,,,
,21:00,6082.74936,,,,,,,
,22:00,6292.56384,,,,,,,
,23:00,6847.8084,,,,,,,
07.09.2019,0:00,5636.6208,,,,,,,
,1:00,5307.40224,,,,,,,
,2:00,5242.71204,,,,,,,
